combinations,score
"['ball', 'ball', 'horse']",9.03614651936
"['ball', 'book', 'doll']",9.087760353430001
"['ball', 'book', 'horse']",9.12435511002
"['doll', 'gloves', 'gloves', 'gloves']",9.125000000010001
"['gloves', 'gloves', 'gloves', 'horse']",9.161173791260001
"['book', 'book', 'doll']",9.17630551001
"['book', 'book', 'horse']",9.21335417043
"['ball', 'ball', 'ball', 'ball', 'gloves']",9.37500000029
"['ball', 'ball', 'ball', 'book', 'gloves']",9.46746740856
"['ball', 'ball', 'gloves', 'gloves', 'gloves', 'gloves']",9.50000000014
"['ball', 'ball', 'book', 'book', 'gloves']",9.56077881463
"['ball', 'book', 'gloves', 'gloves', 'gloves', 'gloves']",9.59403636522
"['gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",9.625
"['ball', 'book', 'book', 'book', 'gloves']",9.65494023086
"['book', 'book', 'gloves', 'gloves', 'gloves', 'gloves']",9.6889361425
"['book', 'book', 'book', 'book', 'gloves']",9.74995695313
"['ball', 'doll', 'gloves', 'gloves']",9.75000000008
"['ball', 'gloves', 'gloves', 'horse']",9.78631015152
"['book', 'doll', 'gloves', 'gloves']",9.84717432154
"['book', 'gloves', 'gloves', 'horse']",9.88393479889
"['doll', 'doll']",9.99999999996
"['ball', 'ball', 'ball', 'ball', 'ball']",10.0000000004
"['doll', 'horse']",10.0363646955
"['horse', 'horse']",10.0727447829
"['ball', 'ball', 'ball', 'ball', 'book']",10.1003124585
"['ball', 'ball', 'ball', 'gloves', 'gloves', 'gloves']",10.1250000002
"['ball', 'ball', 'ball', 'book', 'book']",10.201567370800001
"['ball', 'ball', 'book', 'gloves', 'gloves', 'gloves']",10.2268814125
"['ball', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",10.2500000001
['train'],10.2762370114
"['ball', 'ball', 'book', 'book', 'book']",10.303771937899999
"['ball', 'book', 'book', 'gloves', 'gloves', 'gloves']",10.3297246749
"['book', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",10.353450289
"['ball', 'ball', 'doll', 'gloves']",10.3750000002
"['ball', 'book', 'book', 'book', 'book']",10.4069325883
"['ball', 'ball', 'gloves', 'horse']",10.4114465118
"['book', 'book', 'book', 'gloves', 'gloves', 'gloves']",10.4335366386
"['ball', 'book', 'doll', 'gloves']",10.480019365599999
"['doll', 'gloves', 'gloves', 'gloves', 'gloves']",10.5
"['book', 'book', 'book', 'book', 'book']",10.511054526699999
"['ball', 'book', 'gloves', 'horse']",10.5169179176
"['gloves', 'gloves', 'gloves', 'gloves', 'horse']",10.5364737837
"['book', 'book', 'doll', 'gloves']",10.5860396706
"['book', 'book', 'gloves', 'horse']",10.6233961265
"['ball', 'ball', 'ball', 'ball', 'gloves', 'gloves']",10.7500000003
"['ball', 'ball', 'ball', 'book', 'gloves', 'gloves']",10.859726459500001
"['ball', 'ball', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",10.8750000002
"['ball', 'ball', 'book', 'book', 'gloves', 'gloves']",10.9705132049
"['ball', 'book', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",10.9862953295
"['gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",11.0
"['ball', 'ball', 'ball', 'doll']",11.0000000003
"['ball', 'ball', 'ball', 'horse']",11.0365828721
"['ball', 'book', 'book', 'book', 'gloves', 'gloves']",11.0823682222
"['book', 'book', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",11.098669969400001
"['ball', 'ball', 'book', 'doll']",11.1128644093
"['ball', 'doll', 'gloves', 'gloves', 'gloves']",11.1250000001
"['ball', 'ball', 'book', 'horse']",11.1499010361
"['ball', 'gloves', 'gloves', 'gloves', 'horse']",11.1616101439
"['book', 'book', 'book', 'book', 'gloves', 'gloves']",11.195298100699999
"['ball', 'book', 'book', 'doll']",11.2268281733
"['book', 'doll', 'gloves', 'gloves', 'gloves']",11.2394331816
"['ball', 'book', 'book', 'horse']",11.264324458099999
"['book', 'gloves', 'gloves', 'gloves', 'horse']",11.2764975104
"['book', 'book', 'book', 'doll']",11.341899243199999
"['doll', 'doll', 'gloves']",11.3749999996
"['ball', 'ball', 'ball', 'ball', 'ball', 'gloves']",11.3750000004
"['book', 'book', 'book', 'horse']",11.3798615897
"['doll', 'gloves', 'horse']",11.4116646879
"['gloves', 'horse', 'horse']",11.4483448332
"['ball', 'ball', 'ball', 'ball', 'book', 'gloves']",11.492571506300001
"['ball', 'ball', 'ball', 'gloves', 'gloves', 'gloves', 'gloves']",11.5000000003
"['ball', 'ball', 'ball', 'book', 'book', 'gloves']",11.611301732200001
"['ball', 'ball', 'book', 'gloves', 'gloves', 'gloves', 'gloves']",11.6191403693
"['ball', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",11.6250000001
"['gloves', 'train']",11.651615574400001
['block'],11.666666666700001
"['ball', 'ball', 'book', 'book', 'book', 'gloves']",11.731199791
"['ball', 'book', 'book', 'gloves', 'gloves', 'gloves', 'gloves']",11.7394584379
"['book', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",11.7457090294
"['ball', 'ball', 'doll', 'gloves', 'gloves']",11.7500000002
"['ball', 'ball', 'gloves', 'gloves', 'horse']",11.7867465042
"['ball', 'book', 'book', 'book', 'book', 'gloves']",11.8522732696
"['book', 'book', 'book', 'gloves', 'gloves', 'gloves', 'gloves']",11.8609622945
"['ball', 'book', 'doll', 'gloves', 'gloves']",11.8722782132
"['doll', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",11.8749999999
"['ball', 'book', 'gloves', 'gloves', 'horse']",11.909480621300002
"['gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'horse']",11.911773776099999
"['book', 'book', 'book', 'book', 'book', 'gloves']",11.9745275281
"['book', 'book', 'doll', 'gloves', 'gloves']",11.9957728099
"['ball', 'doll', 'doll']",11.9999999998
"['ball', 'ball', 'ball', 'ball', 'ball', 'ball']",12.0000000005
"['book', 'book', 'gloves', 'gloves', 'horse']",12.033437381099999
"['ball', 'doll', 'horse']",12.0368010482
"['ball', 'horse', 'horse']",12.073617583399999
"['ball', 'ball', 'ball', 'ball', 'gloves', 'gloves', 'gloves']",12.1250000004
"['book', 'doll', 'doll']",12.125415934000001
"['ball', 'ball', 'ball', 'ball', 'ball', 'book']",12.125416552899999
"['book', 'doll', 'horse']",12.1626736812
"['book', 'horse', 'horse']",12.1999470095
"['ball', 'ball', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",12.2500000002
"['ball', 'ball', 'ball', 'book', 'gloves', 'gloves', 'gloves']",12.2519854086
"['ball', 'ball', 'ball', 'ball', 'book', 'book']",12.2520902567
"['ball', 'train']",12.2767876486
"['gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",12.375
"['ball', 'ball', 'ball', 'doll', 'gloves']",12.3750000003
"['ball', 'book', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",12.378554051400002
"['ball', 'ball', 'ball', 'book', 'book', 'book']",12.3800313439
"['ball', 'ball', 'book', 'book', 'gloves', 'gloves', 'gloves']",12.3802469
"['book', 'train']",12.4056691678
"['ball', 'ball', 'ball', 'gloves', 'horse']",12.4118828645
"['ball', 'doll', 'gloves', 'gloves', 'gloves', 'gloves']",12.5
"['ball', 'ball', 'book', 'doll', 'gloves']",12.505123243699998
"['book', 'book', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",12.508402291600001
"['ball', 'ball', 'book', 'book', 'book', 'book']",12.5092483774
"['ball', 'book', 'book', 'book', 'gloves', 'gloves', 'gloves']",12.5097935712
"['ball', 'gloves', 'gloves', 'gloves', 'gloves', 'horse']",12.536910136400001
"['ball', 'ball', 'book', 'gloves', 'horse']",12.542463731400002
"['book', 'doll', 'gloves', 'gloves', 'gloves', 'gloves']",12.631691630699999
"['ball', 'book', 'book', 'doll', 'gloves']",12.6365612048
"['ball', 'book', 'book', 'book', 'book', 'book']",12.639747463900001
"['book', 'book', 'book', 'book', 'gloves', 'gloves', 'gloves']",12.6406318527
"['book', 'gloves', 'gloves', 'gloves', 'gloves', 'horse']",12.6690599624
"['ball', 'book', 'book', 'gloves', 'horse']",12.67436564
"['doll', 'doll', 'gloves', 'gloves']",12.7499999976
"['ball', 'ball', 'ball', 'ball', 'ball', 'gloves', 'gloves']",12.7500000005
"['book', 'book', 'book', 'doll', 'gloves']",12.7693223899
"['book', 'book', 'book', 'book', 'book', 'book']",12.7715315354
"['doll', 'gloves', 'gloves', 'horse']",12.7869646803
"['book', 'book', 'book', 'gloves', 'horse']",12.8075980367
"['gloves', 'gloves', 'horse', 'horse']",12.8239448834
"['ball', 'ball', 'ball', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",12.8750000003
"['ball', 'ball', 'ball', 'ball', 'book', 'gloves', 'gloves']",12.8848304473
"['ball', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",13.0000000001
"['ball', 'ball', 'ball', 'ball', 'doll']",13.0000000004
"['ball', 'ball', 'book', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",13.011399071900001
"['ball', 'ball', 'ball', 'book', 'book', 'gloves', 'gloves']",13.021035355599999
"['gloves', 'gloves', 'train']",13.0269941373
"['ball', 'ball', 'ball', 'ball', 'horse']",13.0370192248
"['block', 'gloves']",13.041666666700001
"['ball', 'ball', 'doll', 'gloves', 'gloves', 'gloves']",13.1250000001
"['book', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",13.137967164900001
"['ball', 'ball', 'ball', 'book', 'doll']",13.137968273199997
"['ball', 'book', 'book', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",13.149190601199999
"['ball', 'ball', 'book', 'book', 'book', 'gloves', 'gloves']",13.158624812100001
"['ball', 'ball', 'gloves', 'gloves', 'gloves', 'horse']",13.1620464967
"['ball', 'ball', 'ball', 'book', 'horse']",13.175446841
"['doll', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",13.2499999992
"['ball', 'book', 'doll', 'gloves', 'gloves', 'gloves']",13.2645366294
"['ball', 'ball', 'book', 'book', 'doll']",13.277349589000002
"['gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'horse']",13.287073768499999
"['book', 'book', 'book', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",13.2883822775
"['ball', 'book', 'book', 'book', 'book', 'gloves', 'gloves']",13.2976059667
"['ball', 'book', 'gloves', 'gloves', 'gloves', 'horse']",13.3020430525
"['ball', 'ball', 'book', 'book', 'horse']",13.315293891900001
"['ball', 'doll', 'doll', 'gloves']",13.374999998
"['ball', 'ball', 'ball', 'ball', 'ball', 'ball', 'gloves']",13.3750000006
"['book', 'book', 'doll', 'gloves', 'gloves', 'gloves']",13.405503469500001
"['ball', 'doll', 'gloves', 'horse']",13.4121010406
"['ball', 'book', 'book', 'book', 'doll']",13.4181533425
"['book', 'book', 'book', 'book', 'book', 'gloves', 'gloves']",13.4379820525
"['book', 'book', 'gloves', 'gloves', 'gloves', 'horse']",13.443476921199998
"['ball', 'gloves', 'horse', 'horse']",13.449217633699998
"['ball', 'book', 'book', 'book', 'horse']",13.456570796700001
"['ball', 'ball', 'ball', 'ball', 'gloves', 'gloves', 'gloves', 'gloves']",13.5000000004
"['book', 'doll', 'doll', 'gloves']",13.517673865
"['ball', 'ball', 'ball', 'ball', 'ball', 'book', 'gloves']",13.5176754854
"['book', 'doll', 'gloves', 'horse']",13.555235805799999
"['book', 'book', 'book', 'book', 'doll']",13.560385370699999
"['book', 'gloves', 'horse', 'horse']",13.5928132337
"['book', 'book', 'book', 'book', 'horse']",13.5992848251
"['ball', 'ball', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",13.6250000002
"['ball', 'ball', 'ball', 'book', 'gloves', 'gloves', 'gloves', 'gloves']",13.6442440909
"['ball', 'gloves', 'train']",13.6521662115
"['ball', 'ball', 'ball', 'ball', 'book', 'book', 'gloves']",13.6618238041
"['ball', 'block']",13.666666666800001
"['gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",13.75
"['ball', 'ball', 'ball', 'doll', 'gloves', 'gloves']",13.7500000003
"['ball', 'book', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",13.770812138599998
"['ball', 'ball', 'ball', 'gloves', 'gloves', 'horse']",13.787182857000001
"['ball', 'ball', 'book', 'book', 'gloves', 'gloves', 'gloves', 'gloves']",13.789978895
"['book', 'gloves', 'train']",13.798307601900001
"['ball', 'ball', 'ball', 'book', 'book', 'book', 'gloves']",13.807456015
"['block', 'book']",13.813002647000001
"['ball', 'doll', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",13.8749999995
"['ball', 'ball', 'book', 'doll', 'gloves', 'gloves']",13.8973816255
"['ball', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'horse']",13.912210128800002
"['book', 'book', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",13.918130959500001
"['ball', 'ball', 'book', 'gloves', 'gloves', 'horse']",13.935026141
"['ball', 'book', 'book', 'book', 'gloves', 'gloves', 'gloves', 'gloves']",13.937212831300002
"['ball', 'ball', 'book', 'book', 'book', 'book', 'gloves']",13.9545799399
"['ball', 'ball', 'doll', 'doll']",13.9999999985
"['ball', 'ball', 'ball', 'ball', 'ball', 'ball', 'ball']",14.0000000007
"['book', 'doll', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",14.023949003199997
"['ball', 'ball', 'doll', 'horse']",14.037237400899999
"['ball', 'book', 'book', 'doll', 'gloves', 'gloves']",14.0462915975
"['book', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'horse']",14.061621734600001
"['ball', 'ball', 'horse', 'horse']",14.0744903839
"['ball', 'book', 'book', 'gloves', 'gloves', 'horse']",14.0844049998
"['book', 'book', 'book', 'book', 'gloves', 'gloves', 'gloves', 'gloves']",14.085949431400001
"['ball', 'book', 'book', 'book', 'book', 'book', 'gloves']",14.103199054000001
"['doll', 'doll', 'gloves', 'gloves', 'gloves']",14.124999985499999
"['ball', 'ball', 'ball', 'ball', 'ball', 'gloves', 'gloves', 'gloves']",14.1250000005
"['ball', 'book', 'doll', 'doll']",14.1505188221
"['ball', 'ball', 'ball', 'ball', 'ball', 'ball', 'book']",14.150520522699999
"['doll', 'gloves', 'gloves', 'gloves', 'horse']",14.162264672100001
"['ball', 'book', 'doll', 'horse']",14.1882188697
"['book', 'book', 'book', 'doll', 'gloves', 'gloves']",14.196736678099999
"['gloves', 'gloves', 'gloves', 'horse', 'horse']",14.199544933699999
"['ball', 'book', 'horse', 'horse']",14.225934421500002
"['book', 'book', 'book', 'gloves', 'gloves', 'horse']",14.235327955799999
"['ball', 'ball', 'ball', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",14.2500000003
"['book', 'book', 'book', 'book', 'book', 'book', 'gloves']",14.2533116517
"['ball', 'ball', 'ball', 'ball', 'book', 'gloves', 'gloves', 'gloves']",14.277089108299998
"['ball', 'ball', 'train']",14.277338285699999
"['book', 'book', 'doll', 'doll']",14.302602847000001
"['ball', 'ball', 'ball', 'ball', 'ball', 'book', 'book']",14.3026122451
"['book', 'book', 'doll', 'horse']",14.340773428099999
"['ball', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",14.3750000001
"['ball', 'ball', 'ball', 'ball', 'doll', 'gloves']",14.3750000004
"['book', 'book', 'horse', 'horse']",14.3789588969
"['gloves', 'gloves', 'gloves', 'train']",14.4023726972
"['ball', 'ball', 'book', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",14.4036571084
"['ball', 'ball', 'ball', 'ball', 'gloves', 'horse']",14.4123192173
"['block', 'gloves', 'gloves']",14.416666666700001
"['ball', 'ball', 'ball', 'book', 'book', 'gloves', 'gloves', 'gloves']",14.430767172100001
"['ball', 'book', 'train']",14.4313265685
"['ball', 'ball', 'ball', 'ball', 'book', 'book', 'book']",14.4562871772
"['ball', 'ball', 'doll', 'gloves', 'gloves', 'gloves', 'gloves']",14.4999999997
"['book', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",14.530223715999998
"['ball', 'ball', 'ball', 'book', 'doll', 'gloves']",14.5302266188
"['ball', 'ball', 'gloves', 'gloves', 'gloves', 'gloves', 'horse']",14.5373464891
"['ball', 'book', 'book', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",14.5589188759
"['ball', 'ball', 'ball', 'book', 'gloves', 'horse']",14.5680092277
"['ball', 'ball', 'book', 'book', 'book', 'gloves', 'gloves', 'gloves']",14.5860432994
"['book', 'book', 'train']",14.5869083006
"['ball', 'ball', 'ball', 'book', 'book', 'book', 'book']",14.6115537619
"['doll', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",14.6249999937
"['ball', 'book', 'doll', 'gloves', 'gloves', 'gloves', 'gloves']",14.6567939158
"['gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'horse']",14.6623737609
"['ball', 'ball', 'book', 'book', 'doll', 'gloves']",14.687079698599998
"['ball', 'book', 'gloves', 'gloves', 'gloves', 'gloves', 'horse']",14.6946047703
"['book', 'book', 'book', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",14.7157893191
"['ball', 'ball', 'book', 'book', 'gloves', 'horse']",14.725333060399999
"['ball', 'book', 'book', 'book', 'book', 'gloves', 'gloves', 'gloves']",14.7429211775
"['ball', 'doll', 'doll', 'gloves', 'gloves']",14.749999987699999
"['ball', 'ball', 'ball', 'ball', 'ball', 'ball', 'gloves', 'gloves']",14.7500000006
"['ball', 'ball', 'book', 'book', 'book', 'book', 'book']",14.7684156177
"['ball', 'doll', 'gloves', 'gloves', 'horse']",14.7874010325
"['book', 'book', 'doll', 'gloves', 'gloves', 'gloves', 'gloves']",14.8152281445
"['ball', 'gloves', 'gloves', 'horse', 'horse']",14.824817684000001
"['ball', 'book', 'book', 'book', 'doll', 'gloves']",14.845566476199998
"['book', 'book', 'gloves', 'gloves', 'gloves', 'gloves', 'horse']",14.8535122933
"['ball', 'ball', 'ball', 'ball', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",14.8750000004
"['ball', 'book', 'book', 'book', 'gloves', 'horse']",14.884299887300001
"['book', 'book', 'book', 'book', 'book', 'gloves', 'gloves', 'gloves']",14.9013979346
"['book', 'doll', 'doll', 'gloves', 'gloves']",14.9099298821
"['ball', 'ball', 'ball', 'ball', 'ball', 'book', 'gloves', 'gloves']",14.909934123900001
"['ball', 'book', 'book', 'book', 'book', 'book', 'book']",14.9268705916
"['book', 'doll', 'gloves', 'gloves', 'horse']",14.9477967202
"['book', 'gloves', 'gloves', 'horse', 'horse']",14.985678693599999
"['doll', 'doll', 'doll']",14.999999906400001
"['ball', 'ball', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",15.0000000002
"['ball', 'ball', 'ball', 'ball', 'ball', 'doll']",15.0000000005
"['book', 'book', 'book', 'book', 'doll', 'gloves']",15.005687860899998
"['ball', 'gloves', 'gloves', 'train']",15.027544772899999
"['ball', 'ball', 'ball', 'book', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",15.036502074200001
"['doll', 'doll', 'horse']",15.037455563800002
"['ball', 'ball', 'ball', 'ball', 'ball', 'horse']",15.0374555776
"['ball', 'block', 'gloves']",15.041666666800001
"['book', 'book', 'book', 'book', 'gloves', 'horse']",15.0449130686
"['ball', 'ball', 'ball', 'ball', 'book', 'book', 'gloves', 'gloves']",15.0715554316
"['doll', 'horse', 'horse']",15.074926783299999
"['book', 'book', 'book', 'book', 'book', 'book', 'book']",15.086910214000001
"['horse', 'horse', 'horse']",15.112413625699999
"['ball', 'ball', 'ball', 'doll', 'gloves', 'gloves', 'gloves']",15.1249999999
"['gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",15.125
"['ball', 'ball', 'ball', 'gloves', 'gloves', 'gloves', 'horse']",15.1624828494
"['ball', 'book', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",15.163068563
"['ball', 'ball', 'ball', 'ball', 'book', 'doll']",15.163071609300001
"['book', 'gloves', 'gloves', 'train']",15.1909395666
"['ball', 'ball', 'book', 'book', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",15.1997067527
"['ball', 'ball', 'ball', 'ball', 'book', 'horse']",15.2009923126
"['block', 'book', 'gloves']",15.2052604293
"['ball', 'ball', 'ball', 'book', 'book', 'book', 'gloves', 'gloves']",15.234873676
"['ball', 'doll', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",15.2499999951
"['doll', 'train']",15.277613341199999
"['ball', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'horse']",15.287510121199999
"['ball', 'ball', 'book', 'doll', 'gloves', 'gloves', 'gloves']",15.2896388216
"['horse', 'train']",15.315139158900001
"['ball', 'ball', 'book', 'gloves', 'gloves', 'gloves', 'horse']",15.3275878018
"['book', 'book', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",15.3278508074
"['ball', 'ball', 'ball', 'book', 'book', 'doll']",15.327867771400001
"['ball', 'book', 'book', 'book', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",15.364618180799999
"['ball', 'ball', 'ball', 'book', 'book', 'horse']",15.366261102100001
"['ball', 'ball', 'doll', 'doll', 'gloves']",15.374999989600001
"['ball', 'ball', 'ball', 'ball', 'ball', 'ball', 'ball', 'gloves']",15.3750000008
"['ball', 'ball', 'book', 'book', 'book', 'book', 'gloves', 'gloves']",15.3998926003
"['ball', 'ball', 'doll', 'gloves', 'horse']",15.412537393
"['book', 'doll', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",15.416203556
"['ball', 'ball', 'gloves', 'horse', 'horse']",15.450090434200002
"['book', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'horse']",15.4541817256
"['ball', 'book', 'book', 'doll', 'gloves', 'gloves', 'gloves']",15.456015614000002
"['ball', 'ball', 'book', 'book', 'book', 'doll']",15.4943961349
"['ball', 'book', 'book', 'gloves', 'gloves', 'gloves', 'horse']",15.494439925
"['doll', 'doll', 'gloves', 'gloves', 'gloves', 'gloves']",15.499999918499999
"['ball', 'ball', 'ball', 'ball', 'ball', 'gloves', 'gloves', 'gloves', 'gloves']",15.5000000005
"['book', 'book', 'book', 'book', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",15.5312320259
"['ball', 'ball', 'book', 'book', 'book', 'horse']",15.533271720799998
"['doll', 'gloves', 'gloves', 'gloves', 'gloves', 'horse']",15.537564659800001
"['ball', 'book', 'doll', 'doll', 'gloves']",15.5427746856
"['ball', 'ball', 'ball', 'ball', 'ball', 'ball', 'book', 'gloves']",15.5427791378
"['ball', 'book', 'book', 'book', 'book', 'book', 'gloves', 'gloves']",15.5666086301
"['gloves', 'gloves', 'gloves', 'gloves', 'horse', 'horse']",15.575144984000001
"['ball', 'book', 'doll', 'gloves', 'horse']",15.5807796874
"['ball', 'book', 'gloves', 'horse', 'horse']",15.6187998204
"['book', 'book', 'book', 'doll', 'gloves', 'gloves', 'gloves']",15.624130929300001
"['ball', 'ball', 'ball', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",15.6250000003
"['ball', 'ball', 'gloves', 'train']",15.652716847899999
"['ball', 'book', 'book', 'book', 'book', 'doll']",15.6626573072
"['book', 'book', 'book', 'gloves', 'gloves', 'gloves', 'horse']",15.6630429601
"['ball', 'ball', 'block']",15.666666666900001
"['ball', 'ball', 'ball', 'ball', 'book', 'gloves', 'gloves', 'gloves', 'gloves']",15.6693470357
"['ball', 'book', 'book', 'book', 'book', 'horse']",15.7020274982
"['book', 'book', 'doll', 'doll', 'gloves']",15.7123210701
"['ball', 'ball', 'ball', 'ball', 'ball', 'book', 'book', 'gloves']",15.7123436724
"['book', 'book', 'book', 'book', 'book', 'book', 'gloves', 'gloves']",15.73501021
