,score
"['ball', 'ball', 'horse']",9.03614651936
"['ball', 'book', 'doll']",9.08776035343
"['ball', 'book', 'horse']",9.12435511002
"['doll', 'gloves', 'gloves', 'gloves']",9.12500000001
"['gloves', 'gloves', 'gloves', 'horse']",9.16117379126
"['book', 'book', 'doll']",9.17630551001
"['book', 'book', 'horse']",9.21335417043
"['ball', 'ball', 'ball', 'ball', 'gloves']",9.37500000029
"['ball', 'ball', 'ball', 'book', 'gloves']",9.46746740856
"['ball', 'ball', 'gloves', 'gloves', 'gloves', 'gloves']",9.50000000014
"['ball', 'ball', 'book', 'book', 'gloves']",9.56077881463
"['ball', 'book', 'gloves', 'gloves', 'gloves', 'gloves']",9.59403636522
"['gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",9.625
"['ball', 'book', 'book', 'book', 'gloves']",9.65494023086
"['book', 'book', 'gloves', 'gloves', 'gloves', 'gloves']",9.6889361425
"['book', 'book', 'book', 'book', 'gloves']",9.74995695313
"['ball', 'doll', 'gloves', 'gloves']",9.75000000008
"['ball', 'gloves', 'gloves', 'horse']",9.78631015152
"['book', 'doll', 'gloves', 'gloves']",9.84717432154
"['book', 'gloves', 'gloves', 'horse']",9.88393479889
"['doll', 'doll']",9.99999999996
"['ball', 'ball', 'ball', 'ball', 'ball']",10.0000000004
"['doll', 'horse']",10.0363646955
"['horse', 'horse']",10.0727447829
"['ball', 'ball', 'ball', 'ball', 'book']",10.1003124585
"['ball', 'ball', 'ball', 'gloves', 'gloves', 'gloves']",10.1250000002
"['ball', 'ball', 'ball', 'book', 'book']",10.2015673708
"['ball', 'ball', 'book', 'gloves', 'gloves', 'gloves']",10.2268814125
"['ball', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",10.2500000001
['train'],10.2762370114
"['ball', 'ball', 'book', 'book', 'book']",10.3037719379
"['ball', 'book', 'book', 'gloves', 'gloves', 'gloves']",10.3297246749
"['book', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",10.353450289
"['ball', 'ball', 'doll', 'gloves']",10.3750000002
"['ball', 'book', 'book', 'book', 'book']",10.4069325883
"['ball', 'ball', 'gloves', 'horse']",10.4114465118
"['book', 'book', 'book', 'gloves', 'gloves', 'gloves']",10.4335366386
"['ball', 'book', 'doll', 'gloves']",10.4800193656
"['doll', 'gloves', 'gloves', 'gloves', 'gloves']",10.5
"['book', 'book', 'book', 'book', 'book']",10.5110545267
"['ball', 'book', 'gloves', 'horse']",10.5169179176
"['gloves', 'gloves', 'gloves', 'gloves', 'horse']",10.5364737837
"['book', 'book', 'doll', 'gloves']",10.5860396706
"['book', 'book', 'gloves', 'horse']",10.6233961265
"['ball', 'ball', 'ball', 'ball', 'gloves', 'gloves']",10.7500000003
"['ball', 'ball', 'ball', 'book', 'gloves', 'gloves']",10.8597264595
"['ball', 'ball', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",10.8750000002
"['ball', 'ball', 'book', 'book', 'gloves', 'gloves']",10.9705132049
"['ball', 'book', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",10.9862953295
"['gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",11.0
"['ball', 'ball', 'ball', 'doll']",11.0000000003
"['ball', 'ball', 'ball', 'horse']",11.0365828721
"['ball', 'book', 'book', 'book', 'gloves', 'gloves']",11.0823682222
"['book', 'book', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",11.0986699694
"['ball', 'ball', 'book', 'doll']",11.1128644093
"['ball', 'doll', 'gloves', 'gloves', 'gloves']",11.1250000001
"['ball', 'ball', 'book', 'horse']",11.1499010361
"['ball', 'gloves', 'gloves', 'gloves', 'horse']",11.1616101439
"['book', 'book', 'book', 'book', 'gloves', 'gloves']",11.1952981007
"['ball', 'book', 'book', 'doll']",11.2268281733
"['book', 'doll', 'gloves', 'gloves', 'gloves']",11.2394331816
"['ball', 'book', 'book', 'horse']",11.2643244581
"['book', 'gloves', 'gloves', 'gloves', 'horse']",11.2764975104
"['book', 'book', 'book', 'doll']",11.3418992432
"['doll', 'doll', 'gloves']",11.3749999996
"['ball', 'ball', 'ball', 'ball', 'ball', 'gloves']",11.3750000004
"['book', 'book', 'book', 'horse']",11.3798615897
"['doll', 'gloves', 'horse']",11.4116646879
"['gloves', 'horse', 'horse']",11.4483448332
"['ball', 'ball', 'ball', 'ball', 'book', 'gloves']",11.4925715063
"['ball', 'ball', 'ball', 'gloves', 'gloves', 'gloves', 'gloves']",11.5000000003
"['ball', 'ball', 'ball', 'book', 'book', 'gloves']",11.6113017322
"['ball', 'ball', 'book', 'gloves', 'gloves', 'gloves', 'gloves']",11.6191403693
"['ball', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",11.6250000001
"['gloves', 'train']",11.6516155744
['block'],11.6666666667
"['ball', 'ball', 'book', 'book', 'book', 'gloves']",11.731199791
"['ball', 'book', 'book', 'gloves', 'gloves', 'gloves', 'gloves']",11.7394584379
"['book', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",11.7457090294
"['ball', 'ball', 'doll', 'gloves', 'gloves']",11.7500000002
"['ball', 'ball', 'gloves', 'gloves', 'horse']",11.7867465042
"['ball', 'book', 'book', 'book', 'book', 'gloves']",11.8522732696
"['book', 'book', 'book', 'gloves', 'gloves', 'gloves', 'gloves']",11.8609622945
"['ball', 'book', 'doll', 'gloves', 'gloves']",11.8722782132
"['doll', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",11.8749999999
"['ball', 'book', 'gloves', 'gloves', 'horse']",11.9094806213
"['gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'horse']",11.9117737761
"['book', 'book', 'book', 'book', 'book', 'gloves']",11.9745275281
"['book', 'book', 'doll', 'gloves', 'gloves']",11.9957728099
"['ball', 'doll', 'doll']",11.9999999998
"['ball', 'ball', 'ball', 'ball', 'ball', 'ball']",12.0000000005
"['book', 'book', 'gloves', 'gloves', 'horse']",12.0334373811
"['ball', 'doll', 'horse']",12.0368010482
"['ball', 'horse', 'horse']",12.0736175834
"['ball', 'ball', 'ball', 'ball', 'gloves', 'gloves', 'gloves']",12.1250000004
"['book', 'doll', 'doll']",12.125415934
"['ball', 'ball', 'ball', 'ball', 'ball', 'book']",12.1254165529
"['book', 'doll', 'horse']",12.1626736812
"['book', 'horse', 'horse']",12.1999470095
"['ball', 'ball', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",12.2500000002
"['ball', 'ball', 'ball', 'book', 'gloves', 'gloves', 'gloves']",12.2519854086
"['ball', 'ball', 'ball', 'ball', 'book', 'book']",12.2520902567
"['ball', 'train']",12.2767876486
"['gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",12.375
"['ball', 'ball', 'ball', 'doll', 'gloves']",12.3750000003
"['ball', 'book', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",12.3785540514
"['ball', 'ball', 'ball', 'book', 'book', 'book']",12.3800313439
"['ball', 'ball', 'book', 'book', 'gloves', 'gloves', 'gloves']",12.3802469
"['book', 'train']",12.4056691678
"['ball', 'ball', 'ball', 'gloves', 'horse']",12.4118828645
"['ball', 'doll', 'gloves', 'gloves', 'gloves', 'gloves']",12.5
"['ball', 'ball', 'book', 'doll', 'gloves']",12.5051232437
"['book', 'book', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",12.5084022916
"['ball', 'ball', 'book', 'book', 'book', 'book']",12.5092483774
"['ball', 'book', 'book', 'book', 'gloves', 'gloves', 'gloves']",12.5097935712
"['ball', 'gloves', 'gloves', 'gloves', 'gloves', 'horse']",12.5369101364
"['ball', 'ball', 'book', 'gloves', 'horse']",12.5424637314
"['book', 'doll', 'gloves', 'gloves', 'gloves', 'gloves']",12.6316916307
"['ball', 'book', 'book', 'doll', 'gloves']",12.6365612048
"['ball', 'book', 'book', 'book', 'book', 'book']",12.6397474639
"['book', 'book', 'book', 'book', 'gloves', 'gloves', 'gloves']",12.6406318527
"['book', 'gloves', 'gloves', 'gloves', 'gloves', 'horse']",12.6690599624
"['ball', 'book', 'book', 'gloves', 'horse']",12.67436564
"['doll', 'doll', 'gloves', 'gloves']",12.7499999976
"['ball', 'ball', 'ball', 'ball', 'ball', 'gloves', 'gloves']",12.7500000005
"['book', 'book', 'book', 'doll', 'gloves']",12.7693223899
"['book', 'book', 'book', 'book', 'book', 'book']",12.7715315354
"['doll', 'gloves', 'gloves', 'horse']",12.7869646803
"['book', 'book', 'book', 'gloves', 'horse']",12.8075980367
"['gloves', 'gloves', 'horse', 'horse']",12.8239448834
"['ball', 'ball', 'ball', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",12.8750000003
"['ball', 'ball', 'ball', 'ball', 'book', 'gloves', 'gloves']",12.8848304473
"['ball', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",13.0000000001
"['ball', 'ball', 'ball', 'ball', 'doll']",13.0000000004
"['ball', 'ball', 'book', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",13.0113990719
"['ball', 'ball', 'ball', 'book', 'book', 'gloves', 'gloves']",13.0210353556
"['gloves', 'gloves', 'train']",13.0269941373
"['ball', 'ball', 'ball', 'ball', 'horse']",13.0370192248
"['block', 'gloves']",13.0416666667
"['ball', 'ball', 'doll', 'gloves', 'gloves', 'gloves']",13.1250000001
"['book', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",13.1379671649
"['ball', 'ball', 'ball', 'book', 'doll']",13.1379682732
"['ball', 'book', 'book', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",13.1491906012
"['ball', 'ball', 'book', 'book', 'book', 'gloves', 'gloves']",13.1586248121
"['ball', 'ball', 'gloves', 'gloves', 'gloves', 'horse']",13.1620464967
"['ball', 'ball', 'ball', 'book', 'horse']",13.175446841
"['doll', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",13.2499999992
"['ball', 'book', 'doll', 'gloves', 'gloves', 'gloves']",13.2645366294
"['ball', 'ball', 'book', 'book', 'doll']",13.277349589
"['gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'horse']",13.2870737685
"['book', 'book', 'book', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",13.2883822775
"['ball', 'book', 'book', 'book', 'book', 'gloves', 'gloves']",13.2976059667
"['ball', 'book', 'gloves', 'gloves', 'gloves', 'horse']",13.3020430525
"['ball', 'ball', 'book', 'book', 'horse']",13.3152938919
"['ball', 'doll', 'doll', 'gloves']",13.374999998
"['ball', 'ball', 'ball', 'ball', 'ball', 'ball', 'gloves']",13.3750000006
"['book', 'book', 'doll', 'gloves', 'gloves', 'gloves']",13.4055034695
"['ball', 'doll', 'gloves', 'horse']",13.4121010406
"['ball', 'book', 'book', 'book', 'doll']",13.4181533425
"['book', 'book', 'book', 'book', 'book', 'gloves', 'gloves']",13.4379820525
"['book', 'book', 'gloves', 'gloves', 'gloves', 'horse']",13.4434769212
"['ball', 'gloves', 'horse', 'horse']",13.4492176337
"['ball', 'book', 'book', 'book', 'horse']",13.4565707967
"['ball', 'ball', 'ball', 'ball', 'gloves', 'gloves', 'gloves', 'gloves']",13.5000000004
"['book', 'doll', 'doll', 'gloves']",13.517673865
"['ball', 'ball', 'ball', 'ball', 'ball', 'book', 'gloves']",13.5176754854
"['book', 'doll', 'gloves', 'horse']",13.5552358058
"['book', 'book', 'book', 'book', 'doll']",13.5603853707
"['book', 'gloves', 'horse', 'horse']",13.5928132337
"['book', 'book', 'book', 'book', 'horse']",13.5992848251
"['ball', 'ball', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",13.6250000002
"['ball', 'ball', 'ball', 'book', 'gloves', 'gloves', 'gloves', 'gloves']",13.6442440909
"['ball', 'gloves', 'train']",13.6521662115
"['ball', 'ball', 'ball', 'ball', 'book', 'book', 'gloves']",13.6618238041
"['ball', 'block']",13.6666666668
"['gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",13.75
"['ball', 'ball', 'ball', 'doll', 'gloves', 'gloves']",13.7500000003
"['ball', 'book', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",13.7708121386
"['ball', 'ball', 'ball', 'gloves', 'gloves', 'horse']",13.787182857
"['ball', 'ball', 'book', 'book', 'gloves', 'gloves', 'gloves', 'gloves']",13.789978895
"['book', 'gloves', 'train']",13.7983076019
"['ball', 'ball', 'ball', 'book', 'book', 'book', 'gloves']",13.807456015
"['block', 'book']",13.813002647
"['ball', 'doll', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",13.8749999995
"['ball', 'ball', 'book', 'doll', 'gloves', 'gloves']",13.8973816255
"['ball', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'horse']",13.9122101288
"['book', 'book', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",13.9181309595
"['ball', 'ball', 'book', 'gloves', 'gloves', 'horse']",13.935026141
"['ball', 'book', 'book', 'book', 'gloves', 'gloves', 'gloves', 'gloves']",13.9372128313
"['ball', 'ball', 'book', 'book', 'book', 'book', 'gloves']",13.9545799399
"['ball', 'ball', 'doll', 'doll']",13.9999999985
"['ball', 'ball', 'ball', 'ball', 'ball', 'ball', 'ball']",14.0000000007
"['book', 'doll', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",14.0239490032
"['ball', 'ball', 'doll', 'horse']",14.0372374009
"['ball', 'book', 'book', 'doll', 'gloves', 'gloves']",14.0462915975
"['book', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'horse']",14.0616217346
"['ball', 'ball', 'horse', 'horse']",14.0744903839
"['ball', 'book', 'book', 'gloves', 'gloves', 'horse']",14.0844049998
"['book', 'book', 'book', 'book', 'gloves', 'gloves', 'gloves', 'gloves']",14.0859494314
"['ball', 'book', 'book', 'book', 'book', 'book', 'gloves']",14.103199054
"['doll', 'doll', 'gloves', 'gloves', 'gloves']",14.1249999855
"['ball', 'ball', 'ball', 'ball', 'ball', 'gloves', 'gloves', 'gloves']",14.1250000005
"['ball', 'book', 'doll', 'doll']",14.1505188221
"['ball', 'ball', 'ball', 'ball', 'ball', 'ball', 'book']",14.1505205227
"['doll', 'gloves', 'gloves', 'gloves', 'horse']",14.1622646721
"['ball', 'book', 'doll', 'horse']",14.1882188697
"['book', 'book', 'book', 'doll', 'gloves', 'gloves']",14.1967366781
"['gloves', 'gloves', 'gloves', 'horse', 'horse']",14.1995449337
"['ball', 'book', 'horse', 'horse']",14.2259344215
"['book', 'book', 'book', 'gloves', 'gloves', 'horse']",14.2353279558
"['ball', 'ball', 'ball', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",14.2500000003
"['book', 'book', 'book', 'book', 'book', 'book', 'gloves']",14.2533116517
"['ball', 'ball', 'ball', 'ball', 'book', 'gloves', 'gloves', 'gloves']",14.2770891083
"['ball', 'ball', 'train']",14.2773382857
"['book', 'book', 'doll', 'doll']",14.302602847
"['ball', 'ball', 'ball', 'ball', 'ball', 'book', 'book']",14.3026122451
"['book', 'book', 'doll', 'horse']",14.3407734281
"['ball', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",14.3750000001
"['ball', 'ball', 'ball', 'ball', 'doll', 'gloves']",14.3750000004
"['book', 'book', 'horse', 'horse']",14.3789588969
"['gloves', 'gloves', 'gloves', 'train']",14.4023726972
"['ball', 'ball', 'book', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",14.4036571084
"['ball', 'ball', 'ball', 'ball', 'gloves', 'horse']",14.4123192173
"['block', 'gloves', 'gloves']",14.4166666667
"['ball', 'ball', 'ball', 'book', 'book', 'gloves', 'gloves', 'gloves']",14.4307671721
"['ball', 'book', 'train']",14.4313265685
"['ball', 'ball', 'ball', 'ball', 'book', 'book', 'book']",14.4562871772
"['ball', 'ball', 'doll', 'gloves', 'gloves', 'gloves', 'gloves']",14.4999999997
"['book', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",14.530223716
"['ball', 'ball', 'ball', 'book', 'doll', 'gloves']",14.5302266188
"['ball', 'ball', 'gloves', 'gloves', 'gloves', 'gloves', 'horse']",14.5373464891
"['ball', 'book', 'book', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",14.5589188759
"['ball', 'ball', 'ball', 'book', 'gloves', 'horse']",14.5680092277
"['ball', 'ball', 'book', 'book', 'book', 'gloves', 'gloves', 'gloves']",14.5860432994
"['book', 'book', 'train']",14.5869083006
"['ball', 'ball', 'ball', 'book', 'book', 'book', 'book']",14.6115537619
"['doll', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",14.6249999937
"['ball', 'book', 'doll', 'gloves', 'gloves', 'gloves', 'gloves']",14.6567939158
"['gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'horse']",14.6623737609
"['ball', 'ball', 'book', 'book', 'doll', 'gloves']",14.6870796986
"['ball', 'book', 'gloves', 'gloves', 'gloves', 'gloves', 'horse']",14.6946047703
"['book', 'book', 'book', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",14.7157893191
"['ball', 'ball', 'book', 'book', 'gloves', 'horse']",14.7253330604
"['ball', 'book', 'book', 'book', 'book', 'gloves', 'gloves', 'gloves']",14.7429211775
"['ball', 'doll', 'doll', 'gloves', 'gloves']",14.7499999877
"['ball', 'ball', 'ball', 'ball', 'ball', 'ball', 'gloves', 'gloves']",14.7500000006
"['ball', 'ball', 'book', 'book', 'book', 'book', 'book']",14.7684156177
"['ball', 'doll', 'gloves', 'gloves', 'horse']",14.7874010325
"['book', 'book', 'doll', 'gloves', 'gloves', 'gloves', 'gloves']",14.8152281445
"['ball', 'gloves', 'gloves', 'horse', 'horse']",14.824817684
"['ball', 'book', 'book', 'book', 'doll', 'gloves']",14.8455664762
"['book', 'book', 'gloves', 'gloves', 'gloves', 'gloves', 'horse']",14.8535122933
"['ball', 'ball', 'ball', 'ball', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",14.8750000004
"['ball', 'book', 'book', 'book', 'gloves', 'horse']",14.8842998873
"['book', 'book', 'book', 'book', 'book', 'gloves', 'gloves', 'gloves']",14.9013979346
"['book', 'doll', 'doll', 'gloves', 'gloves']",14.9099298821
"['ball', 'ball', 'ball', 'ball', 'ball', 'book', 'gloves', 'gloves']",14.9099341239
"['ball', 'book', 'book', 'book', 'book', 'book', 'book']",14.9268705916
"['book', 'doll', 'gloves', 'gloves', 'horse']",14.9477967202
"['book', 'gloves', 'gloves', 'horse', 'horse']",14.9856786936
"['doll', 'doll', 'doll']",14.9999999064
"['ball', 'ball', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",15.0000000002
"['ball', 'ball', 'ball', 'ball', 'ball', 'doll']",15.0000000005
"['book', 'book', 'book', 'book', 'doll', 'gloves']",15.0056878609
"['ball', 'gloves', 'gloves', 'train']",15.0275447729
"['ball', 'ball', 'ball', 'book', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",15.0365020742
"['doll', 'doll', 'horse']",15.0374555638
"['ball', 'ball', 'ball', 'ball', 'ball', 'horse']",15.0374555776
"['ball', 'block', 'gloves']",15.0416666668
"['book', 'book', 'book', 'book', 'gloves', 'horse']",15.0449130686
"['ball', 'ball', 'ball', 'ball', 'book', 'book', 'gloves', 'gloves']",15.0715554316
"['doll', 'horse', 'horse']",15.0749267833
"['book', 'book', 'book', 'book', 'book', 'book', 'book']",15.086910214
"['horse', 'horse', 'horse']",15.1124136257
"['ball', 'ball', 'ball', 'doll', 'gloves', 'gloves', 'gloves']",15.1249999999
"['ball', 'ball', 'ball', 'gloves', 'gloves', 'gloves', 'horse']",15.1624828494
"['ball', 'book', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",15.163068563
"['ball', 'ball', 'ball', 'ball', 'book', 'doll']",15.1630716093
"['book', 'gloves', 'gloves', 'train']",15.1909395666
"['ball', 'ball', 'book', 'book', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",15.1997067527
"['ball', 'ball', 'ball', 'ball', 'book', 'horse']",15.2009923126
"['block', 'book', 'gloves']",15.2052604293
"['ball', 'ball', 'ball', 'book', 'book', 'book', 'gloves', 'gloves']",15.234873676
"['ball', 'doll', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",15.2499999951
"['doll', 'train']",15.2776133412
"['ball', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'horse']",15.2875101212
"['ball', 'ball', 'book', 'doll', 'gloves', 'gloves', 'gloves']",15.2896388216
"['horse', 'train']",15.3151391589
"['ball', 'ball', 'book', 'gloves', 'gloves', 'gloves', 'horse']",15.3275878018
"['book', 'book', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",15.3278508074
"['ball', 'ball', 'ball', 'book', 'book', 'doll']",15.3278677714
"['ball', 'book', 'book', 'book', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",15.3646181808
"['ball', 'ball', 'ball', 'book', 'book', 'horse']",15.3662611021
"['ball', 'ball', 'doll', 'doll', 'gloves']",15.3749999896
"['ball', 'ball', 'ball', 'ball', 'ball', 'ball', 'ball', 'gloves']",15.3750000008
"['ball', 'ball', 'book', 'book', 'book', 'book', 'gloves', 'gloves']",15.3998926003
"['ball', 'ball', 'doll', 'gloves', 'horse']",15.412537393
"['book', 'doll', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",15.416203556
"['ball', 'ball', 'gloves', 'horse', 'horse']",15.4500904342
"['book', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'horse']",15.4541817256
"['ball', 'book', 'book', 'doll', 'gloves', 'gloves', 'gloves']",15.456015614
"['ball', 'ball', 'book', 'book', 'book', 'doll']",15.4943961349
"['ball', 'book', 'book', 'gloves', 'gloves', 'gloves', 'horse']",15.494439925
"['doll', 'doll', 'gloves', 'gloves', 'gloves', 'gloves']",15.4999999185
"['ball', 'ball', 'ball', 'ball', 'ball', 'gloves', 'gloves', 'gloves', 'gloves']",15.5000000005
"['book', 'book', 'book', 'book', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",15.5312320259
"['ball', 'ball', 'book', 'book', 'book', 'horse']",15.5332717208
"['doll', 'gloves', 'gloves', 'gloves', 'gloves', 'horse']",15.5375646598
"['ball', 'book', 'doll', 'doll', 'gloves']",15.5427746856
"['ball', 'ball', 'ball', 'ball', 'ball', 'ball', 'book', 'gloves']",15.5427791378
"['ball', 'book', 'book', 'book', 'book', 'book', 'gloves', 'gloves']",15.5666086301
"['gloves', 'gloves', 'gloves', 'gloves', 'horse', 'horse']",15.575144984
"['ball', 'book', 'doll', 'gloves', 'horse']",15.5807796874
"['ball', 'book', 'gloves', 'horse', 'horse']",15.6187998204
"['book', 'book', 'book', 'doll', 'gloves', 'gloves', 'gloves']",15.6241309293
"['ball', 'ball', 'ball', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",15.6250000003
"['ball', 'ball', 'gloves', 'train']",15.6527168479
"['ball', 'book', 'book', 'book', 'book', 'doll']",15.6626573072
"['book', 'book', 'book', 'gloves', 'gloves', 'gloves', 'horse']",15.6630429601
"['ball', 'ball', 'block']",15.6666666669
"['ball', 'ball', 'ball', 'ball', 'book', 'gloves', 'gloves', 'gloves', 'gloves']",15.6693470357
"['ball', 'book', 'book', 'book', 'book', 'horse']",15.7020274982
"['book', 'book', 'doll', 'doll', 'gloves']",15.7123210701
"['ball', 'ball', 'ball', 'ball', 'ball', 'book', 'book', 'gloves']",15.7123436724
"['book', 'book', 'book', 'book', 'book', 'book', 'gloves', 'gloves']",15.73501021
"['ball', 'ball', 'ball', 'ball', 'doll', 'gloves', 'gloves']",15.7500000002
"['book', 'book', 'doll', 'gloves', 'horse']",15.7508042356
"['gloves', 'gloves', 'gloves', 'gloves', 'train']",15.7777512038
"['ball', 'ball', 'ball', 'ball', 'gloves', 'gloves', 'horse']",15.7876192097
"['book', 'book', 'gloves', 'horse', 'horse']",15.7893009206
"['block', 'gloves', 'gloves', 'gloves']",15.7916666667
