horse,ball,bike,train,coal,book,doll,blocks,gloves,score,n_items,max_packs
2,11,0,0,0,0,1,0,3,40.02094415906502,17,66
3,11,0,0,0,1,0,0,2,40.0113473614088,17,100
1,13,0,0,0,2,1,0,1,40.00632814007472,18,84
0,20,0,0,0,0,0,0,0,40.000000000532374,20,55
0,19,0,0,0,1,0,0,0,39.99927926935917,20,57
1,11,0,0,0,1,0,1,1,39.998860321078865,15,100
1,15,0,0,0,0,1,0,0,39.989939589766344,17,73
2,13,0,0,0,0,0,0,3,39.98223973765967,18,66
0,18,0,0,0,2,0,0,0,39.96788569180697,20,61
0,15,0,0,0,2,0,0,5,39.9661023580428,22,40
0,15,0,0,0,2,1,0,1,39.95078689843836,19,73
0,12,0,0,0,1,0,1,3,39.94980340594835,17,66
5,8,0,0,0,0,0,0,0,39.947882467972704,13,137
2,12,0,0,0,1,0,0,4,39.946236249777506,19,50
0,10,0,0,0,0,2,1,0,39.94493592610945,13,110
1,13,0,0,0,0,0,0,7,39.94400571070786,21,28
2,13,0,0,0,3,0,0,0,39.939408430534826,18,84
0,9,0,0,0,0,0,2,0,39.93331009765066,11,122
2,10,0,0,0,0,2,0,1,39.925748152059164,15,110
2,14,0,0,0,1,0,0,0,39.9247587078411,17,78
1,12,0,0,0,0,2,0,1,39.924048716936454,16,91
0,15,0,0,0,0,2,0,0,39.92368792049956,17,73
1,11,0,0,0,1,0,1,0,39.90853708819862,14,100
0,11,0,0,0,0,4,0,0,39.90560862906814,15,100
0,14,0,0,0,0,0,0,10,39.904974880302476,24,20
1,12,0,0,0,0,1,0,5,39.90478686459932,19,40
0,14,0,0,0,2,1,0,3,39.904469307855614,20,66
0,14,0,0,0,1,1,0,4,39.89533637931017,20,50
1,14,0,0,0,3,0,0,2,39.89149622733076,20,78
0,13,0,0,0,1,2,0,2,39.88796243262523,18,84
2,9,0,0,0,0,0,1,1,39.88792220217517,13,122
0,16,0,0,0,2,0,0,3,39.882130938968466,21,66
0,15,0,0,0,1,0,0,6,39.87076804794001,22,33
1,13,0,0,0,1,0,0,6,39.86691954016233,21,33
1,13,0,0,0,0,1,0,3,39.866655532482014,18,66
0,12,0,0,0,1,3,0,0,39.84791334311997,16,91
3,11,0,0,0,2,0,0,0,39.8326687486229,16,100
1,14,0,0,0,1,1,0,0,39.832630892752256,17,78
0,17,0,0,0,3,0,0,0,39.832452578192076,20,64
1,11,0,0,0,0,2,0,3,39.83213974124614,17,66
3,10,0,0,0,1,1,0,0,39.83098318907946,15,110
4,9,0,0,0,0,0,0,2,39.82933139017639,15,100
0,15,0,0,0,3,0,0,4,39.828366430932356,22,50
0,16,0,0,0,5,0,0,0,39.819994750586716,21,68
1,16,0,0,0,0,0,0,2,39.81472137814895,19,68
3,11,0,0,0,1,0,0,1,39.81051094774673,16,100
0,13,0,0,0,2,2,0,1,39.80906545000092,18,84
0,14,0,0,0,0,0,0,9,39.79750679112453,23,22
2,11,0,0,0,1,1,0,2,39.792148946566776,17,100
0,12,0,0,0,0,3,0,1,39.786022094074184,16,91
1,14,0,0,0,0,0,0,5,39.78022602210934,20,40
0,13,0,0,0,0,1,0,7,39.77789898555924,21,28
4,10,0,0,0,0,0,0,0,39.77481841050168,14,110
0,14,0,0,0,1,0,0,8,39.774451501272814,23,25
0,12,0,0,0,2,0,1,1,39.773462721870104,16,91
0,11,0,0,0,1,1,1,1,39.770906271891285,15,100
1,10,0,0,0,0,0,1,3,39.77049321675526,15,66
4,8,0,0,0,0,1,0,0,39.762854878499255,13,137
0,16,0,0,0,0,1,0,2,39.76053833120351,19,68
0,12,0,0,0,1,0,1,2,39.75343489826259,16,91
0,11,0,0,0,1,1,1,0,39.74967296653817,14,100
0,13,0,0,0,0,2,0,3,39.743713538227404,18,66
1,12,0,0,0,1,1,0,4,39.73771211775707,19,50
0,14,0,0,0,1,2,0,0,39.731750219243835,17,78
0,12,0,0,0,0,2,0,5,39.72636738765066,19,40
1,10,0,0,0,0,3,0,1,39.72625922700082,15,110
1,11,0,0,0,0,0,1,1,39.720919921249525,14,100
1,14,0,0,0,4,0,0,0,39.71887536751465,19,78
2,12,0,0,0,2,0,0,2,39.716629819873106,18,91
1,13,0,0,0,3,1,0,0,39.71326843213422,18,84
1,15,0,0,0,1,0,0,2,39.70731846579735,19,73
1,9,0,0,0,0,1,1,1,39.70399684310371,13,122
1,14,0,0,0,3,0,0,1,39.70226035369769,19,78
3,10,0,0,0,0,0,0,4,39.7003016192105,17,50
4,9,0,0,0,1,0,0,1,39.67942969237839,15,122
2,9,0,0,0,1,0,1,0,39.67866718245499,13,122
0,14,0,0,0,3,1,0,2,39.67581980027908,20,78
2,13,0,0,0,2,0,0,0,39.673654613247194,17,84
0,14,0,0,0,0,1,0,5,39.67249131521688,20,40
0,13,0,0,0,1,1,0,6,39.66875162396759,21,33
2,11,0,0,0,1,1,0,1,39.66091428591873,16,100
3,9,0,0,0,0,1,0,2,39.654417252742114,15,100
3,10,0,0,0,0,1,0,0,39.65388873697329,14,110
2,11,0,0,0,2,1,0,0,39.649533951004635,16,100
2,12,0,0,0,1,0,0,3,39.64635694970014,18,66
0,11,0,0,0,0,3,0,3,39.64285997970247,17,66
0,11,0,0,0,0,0,1,5,39.642574466862534,17,40
2,11,0,0,0,0,0,0,7,39.632309264679144,20,28
0,15,0,0,0,1,1,0,2,39.62137424739114,19,73
1,10,0,0,0,1,0,1,2,39.62089937558679,15,100
0,14,0,0,0,0,0,1,0,39.62033803322692,15,78
3,10,0,0,0,1,0,0,3,39.60692788094855,17,66
0,15,0,0,0,4,0,0,2,39.60516672555339,21,73
2,10,0,0,0,1,2,0,0,39.60425676726571,15,110
0,11,0,0,0,0,1,1,1,39.599469497979555,14,100
0,10,0,0,0,0,1,1,3,39.596491156413215,15,66
1,13,0,0,0,2,0,0,4,39.59006737308483,20,50
1,12,0,0,0,0,0,0,9,39.58714838289832,22,22
3,8,0,0,0,0,0,1,0,39.58438810666711,12,137
0,17,0,0,0,0,0,0,4,39.58211394160218,21,50
3,11,0,0,0,0,0,0,2,39.580207701649584,16,100
3,8,0,0,0,0,2,0,0,39.577268242341006,13,137
1,11,0,0,0,1,2,0,2,39.57549014189252,17,100
0,15,0,0,0,0,0,0,7,39.57443451043922,22,28
0,16,0,0,0,4,0,0,0,39.5724501336647,20,68
2,12,0,0,0,3,0,0,1,39.5657270086114,18,91
0,12,0,0,0,3,0,1,0,39.56448505705954,16,91
2,11,0,0,0,0,0,0,6,39.56165604550236,19,33
0,14,0,0,0,3,1,0,1,39.552904475226484,19,78
1,13,0,0,0,2,1,0,0,39.551504388074,17,84
0,11,0,0,0,1,0,1,4,39.54901745381955,17,50
1,12,0,0,0,2,1,0,2,39.5432485121669,18,91
0,15,0,0,0,3,0,0,3,39.54084725353289,21,66
0,14,0,0,0,4,1,0,0,39.53768322743113,19,78
2,10,0,0,0,0,1,0,4,39.53502152088376,17,50
0,12,0,0,0,1,2,0,4,39.53092764906473,19,50
0,10,0,0,0,0,4,0,1,39.527709476045146,15,110
0,12,0,0,0,0,0,1,3,39.52761392390422,16,66
0,13,0,0,0,0,0,0,11,39.52716295134112,24,18
2,10,0,0,0,0,2,0,0,39.52694976670967,14,110
3,7,0,0,0,0,0,1,0,39.52468347271732,11,157
2,11,0,0,0,1,0,0,5,39.52124368944247,19,40
0,9,0,0,0,0,2,1,1,39.51963501090794,13,122
0,14,0,0,0,2,0,0,7,39.51857165157641,23,28
1,11,0,0,0,1,2,0,1,39.507822700844535,16,100
1,12,0,0,0,1,1,0,3,39.50580515818984,18,66
1,13,0,0,0,3,0,0,3,39.49482619438149,20,66
0,13,0,0,0,3,2,0,0,39.49058505754026,18,84
0,16,0,0,0,1,0,0,4,39.487705200467666,21,50
1,14,0,0,0,2,0,0,2,39.48175858067111,19,78
2,9,0,0,0,0,2,0,2,39.478407266007125,15,100
0,13,0,0,0,1,0,1,0,39.47693884470627,15,84
3,9,0,0,0,1,1,0,1,39.476592988297014,15,122
1,13,0,0,0,1,0,0,5,39.47520771230187,20,40
1,9,0,0,0,1,1,1,0,39.46805707231365,13,122
0,8,0,0,0,0,0,2,1,39.46761335345348,11,137
2,11,0,0,0,0,1,0,2,39.467145523537646,16,100
1,11,0,0,0,2,2,0,0,39.46609189444284,16,100
5,7,0,0,0,0,0,0,1,39.46035713554876,13,157
0,14,0,0,0,2,0,0,6,39.45382965993362,22,33
0,15,0,0,0,5,0,0,1,39.45381615545313,21,73
2,14,0,0,0,0,0,0,1,39.43465994037753,17,78
0,13,0,0,0,2,1,0,4,39.4259979905115,20,50
0,13,0,0,0,2,2,0,0,39.42385553141101,17,84
1,12,0,0,0,1,0,0,7,39.42332105747406,21,28
4,9,0,0,0,1,0,0,0,39.42227924846459,14,122
0,10,0,0,0,1,1,1,2,39.41974663565399,15,100
1,11,0,0,0,0,1,0,7,39.41684240366421,20,28
1,10,0,0,0,2,0,1,0,39.41524747832073,14,110
1,12,0,0,0,0,0,0,8,39.41419650637409,21,25
2,10,0,0,0,1,1,0,3,39.41352122090416,17,66
0,14,0,0,0,3,0,0,5,39.4108181077203,22,40
1,11,0,0,0,0,1,0,6,39.405526497829335,19,33
2,8,0,0,0,0,0,1,2,39.403852414668386,13,100
6,6,0,0,0,0,0,0,0,39.4023671412872,12,166
0,19,0,0,0,0,0,0,1,39.399999162523336,20,57
0,18,0,0,0,1,0,0,1,39.39696872985563,20,61
1,10,0,0,0,0,3,0,0,39.3950117864902,14,110
2,8,0,0,0,0,3,0,0,39.39186148642461,13,137
2,12,0,0,0,0,0,0,4,39.38118351149077,18,50
0,12,0,0,0,0,1,0,9,39.380996624411736,22,22
1,14,0,0,0,0,1,0,1,39.37552262140995,17,78
4,8,0,0,0,0,0,0,4,39.37010097834724,16,50
0,12,0,0,0,2,2,0,2,39.36903645185069,18,91
1,10,0,0,0,0,2,0,4,39.36818817310736,17,50
0,14,0,0,0,2,1,0,2,39.36739450622781,19,78
1,10,0,0,0,1,0,1,1,39.367063707518994,14,110
1,12,0,0,0,3,1,0,1,39.365935845451865,18,91
0,16,0,1,0,0,0,0,0,39.36398336448377,17,68
0,11,0,0,0,1,3,0,2,39.36186303972196,17,100
0,12,0,0,0,1,2,0,3,39.36153447581008,18,66
0,17,0,0,0,2,0,0,1,39.35476975473488,20,64
5,7,0,0,0,1,0,0,0,39.35470915759286,13,157
2,7,0,0,0,0,1,1,0,39.35302274106026,11,157
3,10,0,0,0,2,0,0,1,39.3523453894133,16,110
0,11,0,0,0,1,3,0,1,39.35214911579289,16,100
1,11,0,0,0,0,2,0,2,39.34817587123505,16,100
0,13,0,0,0,1,1,0,5,39.34311009575781,20,40
1,11,0,0,0,1,1,0,5,39.33699884668536,19,40
3,9,0,0,0,0,0,0,6,39.32998667300785,18,33
4,8,0,0,0,0,0,0,3,39.32874680904908,15,66
2,9,0,0,0,0,0,1,0,39.32393490792198,12,122
2,12,0,0,0,3,0,0,0,39.3177241574475,17,91
1,9,0,0,0,0,0,1,5,39.31432778440843,16,40
0,13,0,0,0,1,0,0,9,39.31405105397765,23,22
2,13,0,0,0,1,0,0,1,39.312467233657,17,84
0,8,0,0,0,1,0,2,0,39.3090429206454,11,137
0,14,0,0,0,0,2,0,1,39.308879065220644,17,78
0,13,0,0,0,3,1,0,3,39.30408990385627,20,66
1,9,0,0,0,0,3,0,2,39.302035212028706,15,100
2,8,0,0,0,1,0,1,1,39.2987060250276,13,137
0,14,0,0,0,1,0,0,7,39.29771335777233,22,28
4,7,0,0,0,0,1,0,1,39.296649424131544,13,157
0,11,0,0,0,2,0,1,2,39.29642707012892,16,100
0,15,0,0,0,2,0,0,4,39.28524029160156,21,50
0,11,0,0,0,2,3,0,0,39.28301007865078,16,100
1,7,0,0,0,0,0,2,0,39.28171335284306,10,157
3,9,0,0,0,1,1,0,0,39.280633964312486,14,122
2,9,0,0,0,1,2,0,1,39.27584321147969,15,122
1,12,0,0,0,0,1,0,4,39.275338413236376,18,50
2,10,0,0,0,0,0,0,8,39.27521463685828,20,25
4,8,0,0,0,1,0,0,2,39.274836139079135,15,100
0,10,0,0,0,0,0,1,7,39.2744028050866,18,28
1,9,0,0,0,0,0,1,4,39.27315452765211,15,50
0,12,0,0,0,0,1,0,8,39.26673461078255,21,25
2,11,0,0,0,2,0,0,4,39.260891691861445,19,50
0,9,0,0,0,1,2,1,0,39.26026060443452,13,122
0,10,0,0,0,0,4,0,0,39.25899817166465,14,110
0,13,0,0,0,0,0,0,10,39.25866677820322,23,20
3,10,0,0,0,1,0,0,2,39.25827880267575,16,100
0,12,0,0,0,1,1,0,7,39.2479436121697,21,28
0,11,0,0,0,0,2,0,6,39.247459409420166,19,33
3,10,0,0,0,3,0,0,0,39.24620009101494,16,110
1,13,0,0,0,4,0,0,1,39.24543510479875,19,84
0,10,0,0,0,2,1,1,0,39.24531398204198,14,110
1,8,0,0,0,0,1,1,2,39.240982642238414,13,100
0,10,0,0,0,1,1,1,1,39.22571670850077,14,110
1,13,0,0,0,1,1,0,1,39.22537348039148,17,84
0,12,0,0,0,2,0,1,0,39.22502499836585,15,91
0,11,0,0,0,0,3,0,2,39.22420138575135,16,100
2,11,0,0,0,2,0,0,3,39.22279809459637,18,66
0,16,0,0,0,3,0,0,1,39.22246879806461,20,68
1,12,0,0,0,2,0,0,6,39.22157542384983,21,33
1,10,0,0,0,1,2,0,3,39.2215460142511,17,66
1,9,0,0,0,1,0,1,3,39.21931497756922,15,66
0,15,0,0,0,5,0,0,0,39.21382259803291,20,73
1,8,0,0,0,0,4,0,0,39.207231981641165,13,137
1,11,0,0,0,0,0,0,10,39.20672908525599,22,20
1,9,0,0,0,0,1,1,0,39.20658839727309,12,122
0,11,0,0,0,1,0,1,3,39.204144083920376,16,66
1,15,0,0,0,0,0,0,3,39.20401191317957,19,66
0,10,0,0,0,0,3,0,4,39.20052167598237,17,50
0,11,0,0,0,3,0,1,1,39.19099716986641,16,100
2,10,0,0,0,2,1,0,1,39.19005115378542,16,110
3,9,0,0,0,0,0,0,5,39.18805259129631,17,40
4,9,0,0,0,0,0,0,1,39.18433459503426,14,122
3,9,0,0,0,1,0,0,4,39.18271811314363,17,50
1,7,0,0,0,0,2,1,0,39.18101742159583,11,157
1,13,0,0,0,0,0,0,6,39.1782098998564,20,33
5,6,0,0,0,0,1,0,0,39.177032616685366,12,183
1,12,0,0,0,3,1,0,0,39.17645002605727,17,91
3,8,0,0,0,0,1,0,3,39.17358719579068,15,66
0,12,0,0,0,3,2,0,1,39.16829115662024,18,91
0,13,0,0,0,2,0,0,8,39.167749740066085,23,25
2,11,0,0,0,3,0,0,2,39.16763238744349,18,100
4,7,0,0,0,1,1,0,0,39.166222687938145,13,157
0,12,0,0,0,0,2,0,4,39.16372980960462,18,50
1,13,0,0,0,3,0,0,2,39.156055048523825,19,84
0,11,0,0,0,1,2,0,5,39.15359604178748,19,40
0,14,0,0,0,4,0,0,4,39.153527787449235,22,50
0,15,0,0,0,0,1,0,3,39.14780813394196,19,66
1,13,0,0,0,5,0,0,0,39.139230597307204,19,84
2,9,0,0,0,1,2,0,0,39.13616734683884,14,122
0,10,0,0,0,0,0,1,6,39.1333638597832,17,33
1,10,0,0,0,0,0,1,2,39.132679573866945,14,100
3,7,0,0,0,0,2,0,1,39.132056681456746,13,157
0,13,0,0,0,1,2,0,1,39.131523297961124,17,84
2,9,0,0,0,0,1,0,6,39.13013770840229,18,33
0,10,0,0,0,1,0,1,5,39.12772838372579,17,40
0,9,0,0,0,0,4,0,2,39.12590458941115,15,100
0,12,0,0,0,0,0,0,12,39.125431054279815,24,16
2,10,0,0,0,1,1,0,2,39.124706191621414,16,100
0,9,0,0,0,0,1,1,4,39.118689040002536,15,50
0,14,0,0,0,4,0,0,3,39.11781329187905,21,66
6,5,0,0,0,0,0,0,1,39.1177631012096,12,166
1,6,0,0,0,0,0,2,0,39.114541673750665,9,183
0,15,0,1,0,0,0,0,0,39.11258862800277,16,73
