,combinations,score
55,"['ball', 'ball', 'ball', 'gloves', 'gloves']",8.7500000002
56,"['ball', 'ball', 'book', 'gloves', 'gloves']",8.83462235856
57,"['ball', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",8.87500000007
58,"['ball', 'book', 'book', 'gloves', 'gloves']",8.91999025747
59,"['book', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",8.96119131775
60,"['ball', 'ball', 'doll']",9.00000000015
61,"['book', 'book', 'book', 'gloves', 'gloves']",9.0061085177
62,"['ball', 'ball', 'horse']",9.03614651936
63,"['ball', 'book', 'doll']",9.087760353430001
64,"['ball', 'book', 'horse']",9.12435511002
65,"['doll', 'gloves', 'gloves', 'gloves']",9.125000000010001
66,"['gloves', 'gloves', 'gloves', 'horse']",9.161173791260001
67,"['book', 'book', 'doll']",9.17630551001
68,"['book', 'book', 'horse']",9.21335417043
69,"['ball', 'ball', 'ball', 'ball', 'gloves']",9.37500000029
70,"['ball', 'ball', 'ball', 'book', 'gloves']",9.467467408560001
71,"['ball', 'ball', 'gloves', 'gloves', 'gloves', 'gloves']",9.50000000014
72,"['ball', 'ball', 'book', 'book', 'gloves']",9.56077881463
73,"['ball', 'book', 'gloves', 'gloves', 'gloves', 'gloves']",9.59403636522
74,"['gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",9.625
75,"['ball', 'book', 'book', 'book', 'gloves']",9.654940230860001
76,"['book', 'book', 'gloves', 'gloves', 'gloves', 'gloves']",9.6889361425
77,"['book', 'book', 'book', 'book', 'gloves']",9.74995695313
78,"['ball', 'doll', 'gloves', 'gloves']",9.75000000008
79,"['ball', 'gloves', 'gloves', 'horse']",9.78631015152
80,"['book', 'doll', 'gloves', 'gloves']",9.847174321539999
81,"['book', 'gloves', 'gloves', 'horse']",9.88393479889
82,"['doll', 'doll']",9.99999999996
83,"['ball', 'ball', 'ball', 'ball', 'ball']",10.0000000004
84,"['doll', 'horse']",10.0363646955
85,"['horse', 'horse']",10.0727447829
86,"['ball', 'ball', 'ball', 'ball', 'book']",10.1003124585
87,"['ball', 'ball', 'ball', 'gloves', 'gloves', 'gloves']",10.1250000002
88,"['ball', 'ball', 'ball', 'book', 'book']",10.201567370800001
89,"['ball', 'ball', 'book', 'gloves', 'gloves', 'gloves']",10.2268814125
90,"['ball', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",10.2500000001
91,['train'],10.2762370114
92,"['ball', 'ball', 'book', 'book', 'book']",10.303771937899999
93,"['ball', 'book', 'book', 'gloves', 'gloves', 'gloves']",10.3297246749
94,"['book', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",10.353450289
95,"['ball', 'ball', 'doll', 'gloves']",10.3750000002
96,"['ball', 'book', 'book', 'book', 'book']",10.4069325883
97,"['ball', 'ball', 'gloves', 'horse']",10.4114465118
98,"['book', 'book', 'book', 'gloves', 'gloves', 'gloves']",10.4335366386
99,"['ball', 'book', 'doll', 'gloves']",10.480019365599999
100,"['doll', 'gloves', 'gloves', 'gloves', 'gloves']",10.5
101,"['book', 'book', 'book', 'book', 'book']",10.511054526699999
102,"['ball', 'book', 'gloves', 'horse']",10.5169179176
103,"['gloves', 'gloves', 'gloves', 'gloves', 'horse']",10.5364737837
104,"['book', 'book', 'doll', 'gloves']",10.5860396706
105,"['book', 'book', 'gloves', 'horse']",10.6233961265
106,"['ball', 'ball', 'ball', 'ball', 'gloves', 'gloves']",10.7500000003
107,"['ball', 'ball', 'ball', 'book', 'gloves', 'gloves']",10.859726459500001
108,"['ball', 'ball', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",10.8750000002
109,"['ball', 'ball', 'book', 'book', 'gloves', 'gloves']",10.9705132049
110,"['ball', 'book', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",10.9862953295
111,"['gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",11.0
112,"['ball', 'ball', 'ball', 'doll']",11.0000000003
113,"['ball', 'ball', 'ball', 'horse']",11.0365828721
114,"['ball', 'book', 'book', 'book', 'gloves', 'gloves']",11.0823682222
115,"['book', 'book', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",11.098669969400001
116,"['ball', 'ball', 'book', 'doll']",11.1128644093
117,"['ball', 'doll', 'gloves', 'gloves', 'gloves']",11.1250000001
118,"['ball', 'ball', 'book', 'horse']",11.1499010361
119,"['ball', 'gloves', 'gloves', 'gloves', 'horse']",11.1616101439
120,"['book', 'book', 'book', 'book', 'gloves', 'gloves']",11.195298100699999
121,"['ball', 'book', 'book', 'doll']",11.2268281733
122,"['book', 'doll', 'gloves', 'gloves', 'gloves']",11.2394331816
123,"['ball', 'book', 'book', 'horse']",11.264324458099999
124,"['book', 'gloves', 'gloves', 'gloves', 'horse']",11.2764975104
125,"['book', 'book', 'book', 'doll']",11.341899243199999
126,"['doll', 'doll', 'gloves']",11.3749999996
127,"['ball', 'ball', 'ball', 'ball', 'ball', 'gloves']",11.3750000004
128,"['book', 'book', 'book', 'horse']",11.3798615897
129,"['doll', 'gloves', 'horse']",11.4116646879
130,"['gloves', 'horse', 'horse']",11.4483448332
131,"['ball', 'ball', 'ball', 'ball', 'book', 'gloves']",11.492571506300001
132,"['ball', 'ball', 'ball', 'gloves', 'gloves', 'gloves', 'gloves']",11.5000000003
133,"['ball', 'ball', 'ball', 'book', 'book', 'gloves']",11.611301732200001
134,"['ball', 'ball', 'book', 'gloves', 'gloves', 'gloves', 'gloves']",11.6191403693
135,"['ball', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",11.6250000001
136,"['gloves', 'train']",11.651615574400001
137,['block'],11.666666666700001
138,"['ball', 'ball', 'book', 'book', 'book', 'gloves']",11.731199791
139,"['ball', 'book', 'book', 'gloves', 'gloves', 'gloves', 'gloves']",11.7394584379
140,"['book', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",11.7457090294
141,"['ball', 'ball', 'doll', 'gloves', 'gloves']",11.7500000002
142,"['ball', 'ball', 'gloves', 'gloves', 'horse']",11.7867465042
143,"['ball', 'book', 'book', 'book', 'book', 'gloves']",11.8522732696
144,"['book', 'book', 'book', 'gloves', 'gloves', 'gloves', 'gloves']",11.8609622945
145,"['ball', 'book', 'doll', 'gloves', 'gloves']",11.8722782132
146,"['doll', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",11.8749999999
147,"['ball', 'book', 'gloves', 'gloves', 'horse']",11.909480621300002
148,"['gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'horse']",11.911773776099999
149,"['book', 'book', 'book', 'book', 'book', 'gloves']",11.9745275281
150,"['book', 'book', 'doll', 'gloves', 'gloves']",11.9957728099
151,"['ball', 'doll', 'doll']",11.9999999998
152,"['ball', 'ball', 'ball', 'ball', 'ball', 'ball']",12.0000000005
153,"['book', 'book', 'gloves', 'gloves', 'horse']",12.033437381099999
154,"['ball', 'doll', 'horse']",12.0368010482
155,"['ball', 'horse', 'horse']",12.073617583399999
156,"['ball', 'ball', 'ball', 'ball', 'gloves', 'gloves', 'gloves']",12.1250000004
157,"['book', 'doll', 'doll']",12.125415934000001
158,"['ball', 'ball', 'ball', 'ball', 'ball', 'book']",12.125416552899999
159,"['book', 'doll', 'horse']",12.1626736812
160,"['book', 'horse', 'horse']",12.1999470095
161,"['ball', 'ball', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",12.2500000002
162,"['ball', 'ball', 'ball', 'book', 'gloves', 'gloves', 'gloves']",12.2519854086
163,"['ball', 'ball', 'ball', 'ball', 'book', 'book']",12.2520902567
164,"['ball', 'train']",12.2767876486
165,"['gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",12.375
166,"['ball', 'ball', 'ball', 'doll', 'gloves']",12.3750000003
167,"['ball', 'book', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",12.378554051400002
168,"['ball', 'ball', 'ball', 'book', 'book', 'book']",12.3800313439
169,"['ball', 'ball', 'book', 'book', 'gloves', 'gloves', 'gloves']",12.3802469
170,"['book', 'train']",12.4056691678
171,"['ball', 'ball', 'ball', 'gloves', 'horse']",12.4118828645
172,"['ball', 'doll', 'gloves', 'gloves', 'gloves', 'gloves']",12.5
173,"['ball', 'ball', 'book', 'doll', 'gloves']",12.505123243699998
174,"['book', 'book', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",12.508402291600001
175,"['ball', 'ball', 'book', 'book', 'book', 'book']",12.5092483774
176,"['ball', 'book', 'book', 'book', 'gloves', 'gloves', 'gloves']",12.5097935712
177,"['ball', 'gloves', 'gloves', 'gloves', 'gloves', 'horse']",12.536910136400001
178,"['ball', 'ball', 'book', 'gloves', 'horse']",12.542463731400002
179,"['book', 'doll', 'gloves', 'gloves', 'gloves', 'gloves']",12.631691630699999
180,"['ball', 'book', 'book', 'doll', 'gloves']",12.6365612048
181,"['ball', 'book', 'book', 'book', 'book', 'book']",12.639747463900001
182,"['book', 'book', 'book', 'book', 'gloves', 'gloves', 'gloves']",12.6406318527
183,"['book', 'gloves', 'gloves', 'gloves', 'gloves', 'horse']",12.6690599624
184,"['ball', 'book', 'book', 'gloves', 'horse']",12.67436564
185,"['doll', 'doll', 'gloves', 'gloves']",12.7499999976
186,"['ball', 'ball', 'ball', 'ball', 'ball', 'gloves', 'gloves']",12.7500000005
187,"['book', 'book', 'book', 'doll', 'gloves']",12.7693223899
188,"['book', 'book', 'book', 'book', 'book', 'book']",12.7715315354
189,"['doll', 'gloves', 'gloves', 'horse']",12.7869646803
190,"['book', 'book', 'book', 'gloves', 'horse']",12.8075980367
191,"['gloves', 'gloves', 'horse', 'horse']",12.8239448834
192,"['ball', 'ball', 'ball', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",12.8750000003
193,"['ball', 'ball', 'ball', 'ball', 'book', 'gloves', 'gloves']",12.8848304473
194,"['ball', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",13.0000000001
195,"['ball', 'ball', 'ball', 'ball', 'doll']",13.0000000004
196,"['ball', 'ball', 'book', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",13.011399071900001
197,"['ball', 'ball', 'ball', 'book', 'book', 'gloves', 'gloves']",13.021035355599999
198,"['gloves', 'gloves', 'train']",13.0269941373
199,"['ball', 'ball', 'ball', 'ball', 'horse']",13.0370192248
200,"['block', 'gloves']",13.041666666700001
201,"['ball', 'ball', 'doll', 'gloves', 'gloves', 'gloves']",13.1250000001
202,"['book', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",13.137967164900001
203,"['ball', 'ball', 'ball', 'book', 'doll']",13.137968273199998
204,"['ball', 'book', 'book', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",13.149190601199999
205,"['ball', 'ball', 'book', 'book', 'book', 'gloves', 'gloves']",13.158624812100001
206,"['ball', 'ball', 'gloves', 'gloves', 'gloves', 'horse']",13.1620464967
207,"['ball', 'ball', 'ball', 'book', 'horse']",13.175446841
208,"['doll', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",13.2499999992
209,"['ball', 'book', 'doll', 'gloves', 'gloves', 'gloves']",13.2645366294
210,"['ball', 'ball', 'book', 'book', 'doll']",13.277349589000002
211,"['gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'horse']",13.287073768499999
212,"['book', 'book', 'book', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",13.2883822775
213,"['ball', 'book', 'book', 'book', 'book', 'gloves', 'gloves']",13.2976059667
214,"['ball', 'book', 'gloves', 'gloves', 'gloves', 'horse']",13.3020430525
215,"['ball', 'ball', 'book', 'book', 'horse']",13.315293891900001
216,"['ball', 'doll', 'doll', 'gloves']",13.374999998
217,"['ball', 'ball', 'ball', 'ball', 'ball', 'ball', 'gloves']",13.3750000006
218,"['book', 'book', 'doll', 'gloves', 'gloves', 'gloves']",13.405503469500001
219,"['ball', 'doll', 'gloves', 'horse']",13.4121010406
220,"['ball', 'book', 'book', 'book', 'doll']",13.4181533425
221,"['book', 'book', 'book', 'book', 'book', 'gloves', 'gloves']",13.4379820525
222,"['book', 'book', 'gloves', 'gloves', 'gloves', 'horse']",13.443476921199998
223,"['ball', 'gloves', 'horse', 'horse']",13.449217633699998
224,"['ball', 'book', 'book', 'book', 'horse']",13.456570796700001
225,"['ball', 'ball', 'ball', 'ball', 'gloves', 'gloves', 'gloves', 'gloves']",13.5000000004
226,"['book', 'doll', 'doll', 'gloves']",13.517673865
227,"['ball', 'ball', 'ball', 'ball', 'ball', 'book', 'gloves']",13.5176754854
228,"['book', 'doll', 'gloves', 'horse']",13.555235805799999
229,"['book', 'book', 'book', 'book', 'doll']",13.560385370699999
230,"['book', 'gloves', 'horse', 'horse']",13.5928132337
231,"['book', 'book', 'book', 'book', 'horse']",13.5992848251
232,"['ball', 'ball', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",13.6250000002
233,"['ball', 'ball', 'ball', 'book', 'gloves', 'gloves', 'gloves', 'gloves']",13.6442440909
234,"['ball', 'gloves', 'train']",13.6521662115
235,"['ball', 'ball', 'ball', 'ball', 'book', 'book', 'gloves']",13.6618238041
236,"['ball', 'block']",13.666666666800001
237,"['gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",13.75
238,"['ball', 'ball', 'ball', 'doll', 'gloves', 'gloves']",13.7500000003
239,"['ball', 'book', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",13.770812138599998
240,"['ball', 'ball', 'ball', 'gloves', 'gloves', 'horse']",13.787182857000001
241,"['ball', 'ball', 'book', 'book', 'gloves', 'gloves', 'gloves', 'gloves']",13.789978895
242,"['book', 'gloves', 'train']",13.798307601900001
243,"['ball', 'ball', 'ball', 'book', 'book', 'book', 'gloves']",13.807456015
244,"['block', 'book']",13.813002647000001
245,"['ball', 'doll', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",13.8749999995
246,"['ball', 'ball', 'book', 'doll', 'gloves', 'gloves']",13.8973816255
247,"['ball', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'horse']",13.912210128800002
248,"['book', 'book', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",13.918130959500001
249,"['ball', 'ball', 'book', 'gloves', 'gloves', 'horse']",13.935026141
250,"['ball', 'book', 'book', 'book', 'gloves', 'gloves', 'gloves', 'gloves']",13.937212831300002
251,"['ball', 'ball', 'book', 'book', 'book', 'book', 'gloves']",13.9545799399
252,"['ball', 'ball', 'doll', 'doll']",13.9999999985
253,"['ball', 'ball', 'ball', 'ball', 'ball', 'ball', 'ball']",14.0000000007
254,"['book', 'doll', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",14.023949003199998
255,"['ball', 'ball', 'doll', 'horse']",14.037237400899999
256,"['ball', 'book', 'book', 'doll', 'gloves', 'gloves']",14.0462915975
257,"['book', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'horse']",14.061621734600001
258,"['ball', 'ball', 'horse', 'horse']",14.0744903839
259,"['ball', 'book', 'book', 'gloves', 'gloves', 'horse']",14.0844049998
260,"['book', 'book', 'book', 'book', 'gloves', 'gloves', 'gloves', 'gloves']",14.085949431400001
261,"['ball', 'book', 'book', 'book', 'book', 'book', 'gloves']",14.103199054000001
262,"['doll', 'doll', 'gloves', 'gloves', 'gloves']",14.124999985499999
263,"['ball', 'ball', 'ball', 'ball', 'ball', 'gloves', 'gloves', 'gloves']",14.1250000005
264,"['ball', 'book', 'doll', 'doll']",14.1505188221
265,"['ball', 'ball', 'ball', 'ball', 'ball', 'ball', 'book']",14.150520522699999
266,"['doll', 'gloves', 'gloves', 'gloves', 'horse']",14.162264672100001
267,"['ball', 'book', 'doll', 'horse']",14.1882188697
268,"['book', 'book', 'book', 'doll', 'gloves', 'gloves']",14.196736678099999
269,"['gloves', 'gloves', 'gloves', 'horse', 'horse']",14.199544933699999
270,"['ball', 'book', 'horse', 'horse']",14.225934421500002
271,"['book', 'book', 'book', 'gloves', 'gloves', 'horse']",14.235327955799999
272,"['ball', 'ball', 'ball', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",14.2500000003
273,"['book', 'book', 'book', 'book', 'book', 'book', 'gloves']",14.2533116517
274,"['ball', 'ball', 'ball', 'ball', 'book', 'gloves', 'gloves', 'gloves']",14.277089108299998
275,"['ball', 'ball', 'train']",14.277338285699999
276,"['book', 'book', 'doll', 'doll']",14.302602847000001
277,"['ball', 'ball', 'ball', 'ball', 'ball', 'book', 'book']",14.3026122451
278,"['book', 'book', 'doll', 'horse']",14.340773428099999
279,"['ball', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",14.3750000001
280,"['ball', 'ball', 'ball', 'ball', 'doll', 'gloves']",14.3750000004
281,"['book', 'book', 'horse', 'horse']",14.3789588969
282,"['gloves', 'gloves', 'gloves', 'train']",14.4023726972
283,"['ball', 'ball', 'book', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",14.4036571084
284,"['ball', 'ball', 'ball', 'ball', 'gloves', 'horse']",14.4123192173
285,"['block', 'gloves', 'gloves']",14.416666666700001
286,"['ball', 'ball', 'ball', 'book', 'book', 'gloves', 'gloves', 'gloves']",14.430767172100001
287,"['ball', 'book', 'train']",14.4313265685
288,"['ball', 'ball', 'ball', 'ball', 'book', 'book', 'book']",14.4562871772
289,"['ball', 'ball', 'doll', 'gloves', 'gloves', 'gloves', 'gloves']",14.4999999997
290,"['book', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",14.530223715999998
291,"['ball', 'ball', 'ball', 'book', 'doll', 'gloves']",14.5302266188
292,"['ball', 'ball', 'gloves', 'gloves', 'gloves', 'gloves', 'horse']",14.5373464891
293,"['ball', 'book', 'book', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",14.5589188759
294,"['ball', 'ball', 'ball', 'book', 'gloves', 'horse']",14.5680092277
295,"['ball', 'ball', 'book', 'book', 'book', 'gloves', 'gloves', 'gloves']",14.5860432994
296,"['book', 'book', 'train']",14.5869083006
297,"['ball', 'ball', 'ball', 'book', 'book', 'book', 'book']",14.6115537619
298,"['doll', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",14.6249999937
299,"['ball', 'book', 'doll', 'gloves', 'gloves', 'gloves', 'gloves']",14.6567939158
300,"['gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'horse']",14.6623737609
301,"['ball', 'ball', 'book', 'book', 'doll', 'gloves']",14.687079698599998
302,"['ball', 'book', 'gloves', 'gloves', 'gloves', 'gloves', 'horse']",14.6946047703
303,"['book', 'book', 'book', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",14.7157893191
304,"['ball', 'ball', 'book', 'book', 'gloves', 'horse']",14.725333060399999
305,"['ball', 'book', 'book', 'book', 'book', 'gloves', 'gloves', 'gloves']",14.7429211775
306,"['ball', 'doll', 'doll', 'gloves', 'gloves']",14.749999987699999
307,"['ball', 'ball', 'ball', 'ball', 'ball', 'ball', 'gloves', 'gloves']",14.7500000006
308,"['ball', 'ball', 'book', 'book', 'book', 'book', 'book']",14.7684156177
309,"['ball', 'doll', 'gloves', 'gloves', 'horse']",14.7874010325
310,"['book', 'book', 'doll', 'gloves', 'gloves', 'gloves', 'gloves']",14.8152281445
311,"['ball', 'gloves', 'gloves', 'horse', 'horse']",14.824817684000001
312,"['ball', 'book', 'book', 'book', 'doll', 'gloves']",14.845566476199998
313,"['book', 'book', 'gloves', 'gloves', 'gloves', 'gloves', 'horse']",14.8535122933
314,"['ball', 'ball', 'ball', 'ball', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",14.8750000004
315,"['ball', 'book', 'book', 'book', 'gloves', 'horse']",14.884299887300001
316,"['book', 'book', 'book', 'book', 'book', 'gloves', 'gloves', 'gloves']",14.9013979346
317,"['book', 'doll', 'doll', 'gloves', 'gloves']",14.9099298821
318,"['ball', 'ball', 'ball', 'ball', 'ball', 'book', 'gloves', 'gloves']",14.909934123900001
319,"['ball', 'book', 'book', 'book', 'book', 'book', 'book']",14.9268705916
320,"['book', 'doll', 'gloves', 'gloves', 'horse']",14.9477967202
321,"['book', 'gloves', 'gloves', 'horse', 'horse']",14.985678693599999
322,"['doll', 'doll', 'doll']",14.999999906400001
323,"['ball', 'ball', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",15.0000000002
324,"['ball', 'ball', 'ball', 'ball', 'ball', 'doll']",15.0000000005
325,"['book', 'book', 'book', 'book', 'doll', 'gloves']",15.005687860899998
326,"['ball', 'gloves', 'gloves', 'train']",15.027544772899999
327,"['ball', 'ball', 'ball', 'book', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",15.036502074200001
328,"['doll', 'doll', 'horse']",15.037455563800002
329,"['ball', 'ball', 'ball', 'ball', 'ball', 'horse']",15.0374555776
330,"['ball', 'block', 'gloves']",15.041666666800001
331,"['book', 'book', 'book', 'book', 'gloves', 'horse']",15.0449130686
332,"['ball', 'ball', 'ball', 'ball', 'book', 'book', 'gloves', 'gloves']",15.0715554316
333,"['doll', 'horse', 'horse']",15.074926783299999
334,"['book', 'book', 'book', 'book', 'book', 'book', 'book']",15.086910214000001
335,"['horse', 'horse', 'horse']",15.112413625699999
336,"['ball', 'ball', 'ball', 'doll', 'gloves', 'gloves', 'gloves']",15.1249999999
337,"['gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",15.125
338,"['ball', 'ball', 'ball', 'gloves', 'gloves', 'gloves', 'horse']",15.1624828494
339,"['ball', 'book', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",15.163068563
340,"['ball', 'ball', 'ball', 'ball', 'book', 'doll']",15.163071609300001
341,"['book', 'gloves', 'gloves', 'train']",15.1909395666
342,"['ball', 'ball', 'book', 'book', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",15.1997067527
343,"['ball', 'ball', 'ball', 'ball', 'book', 'horse']",15.2009923126
344,"['block', 'book', 'gloves']",15.2052604293
345,"['ball', 'ball', 'ball', 'book', 'book', 'book', 'gloves', 'gloves']",15.234873676
346,"['ball', 'doll', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",15.2499999951
347,"['doll', 'train']",15.277613341199999
348,"['ball', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'horse']",15.287510121199999
349,"['ball', 'ball', 'book', 'doll', 'gloves', 'gloves', 'gloves']",15.2896388216
350,"['horse', 'train']",15.315139158900001
351,"['ball', 'ball', 'book', 'gloves', 'gloves', 'gloves', 'horse']",15.3275878018
352,"['book', 'book', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",15.3278508074
353,"['ball', 'ball', 'ball', 'book', 'book', 'doll']",15.327867771400001
354,"['ball', 'book', 'book', 'book', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",15.364618180799999
355,"['ball', 'ball', 'ball', 'book', 'book', 'horse']",15.366261102100001
356,"['ball', 'ball', 'doll', 'doll', 'gloves']",15.374999989600001
357,"['ball', 'ball', 'ball', 'ball', 'ball', 'ball', 'ball', 'gloves']",15.3750000008
358,"['ball', 'ball', 'book', 'book', 'book', 'book', 'gloves', 'gloves']",15.3998926003
359,"['ball', 'ball', 'doll', 'gloves', 'horse']",15.412537393
360,"['book', 'doll', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",15.416203556
361,"['ball', 'ball', 'gloves', 'horse', 'horse']",15.450090434200002
362,"['book', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'horse']",15.4541817256
363,"['ball', 'book', 'book', 'doll', 'gloves', 'gloves', 'gloves']",15.456015614000002
364,"['ball', 'ball', 'book', 'book', 'book', 'doll']",15.4943961349
365,"['ball', 'book', 'book', 'gloves', 'gloves', 'gloves', 'horse']",15.494439925
366,"['doll', 'doll', 'gloves', 'gloves', 'gloves', 'gloves']",15.499999918499999
367,"['ball', 'ball', 'ball', 'ball', 'ball', 'gloves', 'gloves', 'gloves', 'gloves']",15.5000000005
368,"['book', 'book', 'book', 'book', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",15.5312320259
